Broad Emotion,Emotion,Synonyms,Definitions
Introspective,Stirred,"evoke, touch, arouse, moved, stimulate, call forth, shake, bring up, call down, aroused, conjure, stimulated, budge, affected, shift, stirred up, put forward, stirred, agitate, raise, shake up, touched, excite, stir, conjure up, invoke","move an implement through; move very slightly; stir feelings in; stir the feelings, emotions, or peace of; affect emotionally; summon into action or bring into existence, often as if by magic; to begin moving,; mix or add by stirring; being excited or provoked to the expression of an emotion; emotionally aroused; set into a usually circular motion in order to mix or blend"
Introspective,Wonder,"wonder, curiosity, question, admiration, marvel, enquire, inquire, wonderment",the feeling aroused by something strange and surprising; something that causes feelings of wonder; a state in which you want to learn more about something; have a wish or desire to know something; place in doubt or express doubtful speculation; be amazed at
Joyful,Amused,"amused, disport, divert, amuse, diverted, entertained","occupy in an agreeable, entertaining or pleasant fashion; make (somebody) laugh; pleasantly occupied"
Joyful,Awed,"awed, awestricken, awe, awful, awestruck",inspire awe in; inspired by a feeling of fearful wonderment or reverence; having or showing a feeling of mixed reverence and respect and wonder and dread
Joyful,Bemused,"befuddled, lost, confused, bemuse, mazed, deep in thought, confounded, bewilder, bewildered, discombobulate, throw, baffled, bemused, at sea, mixed-up, preoccupied",cause to be confused emotionally; deeply absorbed in thought; perplexed by many conflicting situations or statements; filled with bewilderment
Joyful,Bliss,"blissfulness, seventh heaven, cloud nine, walking on air, bliss",a state of extreme happiness
Joyful,Blithe,"light-hearted, lighthearted, blithe, lightsome, blithesome",lacking or showing a lack of due concern; carefree and happy and lighthearted
Joyful,Bonhomie,"amiableness, bonhomie, geniality, amiability, affability, affableness",a disposition to be friendly and approachable (easy to talk to)
Joyful,Bubbly,"foamy, spumy, bubbling, effervescing, bubbly, champagne, foaming, frothy",a white sparkling wine either produced in Champagne or resembling that produced there; emitting or filled with bubbles as from carbonation or fermentation; full of or showing high spirits
Joyful,Buoyant,"chirpy, perky, buoyant, floaty",tending to float on a liquid or rise in air or gas; characterized by liveliness and lightheartedness
Joyful,Carefree,"freewheeling, devil-may-care, carefree, unworried, slaphappy, happy-go-lucky, harum-scarum",free of trouble and worry and care; cheerfully irresponsible
Joyful,Cheerful,"cheerful, pollyannaish, upbeat",being full of or promoting cheer; having or showing good spirits; pleasantly (even unrealistically) optimistic
Joyful,Delectation,"delight, enjoyment, delectation",a feeling of extreme pleasure or satisfaction; act of receiving pleasure from something
Joyful,Delighted,"delight, enthral, revel, enrapture, ravish, please, enchant, transport, enthrall, captivated, entranced, charmed, enthralled, delighted, beguiled, enjoy",give pleasure to or be pleasing to; take delight in; hold spellbound; greatly pleased; filled with wonder and delight
Joyful,Delirious,"hallucinating, excited, mad, delirious, unrestrained, frantic",experiencing delirium; marked by uncontrolled excitement or emotion
Joyful,Ebullient,"exuberant, high-spirited, ebullient",joyously unrestrained
Joyful,Ecstatic,"enraptured, rapt, rapturous, rhapsodic, ecstatic",feeling great rapture or delight
Joyful,Elated,"pick up, elate, jubilant, elated, lift up, uplift, joyful, intoxicate, gleeful",fill with high spirits; fill with optimism; exultantly proud and joyful; in high spirits; full of high-spirited delight
Joyful,Enchanted,"catch, delight, enthral, enchanted, beguile, bewitch, enthrall, enamor, transport, enamour, enrapture, enchant, fascinate, witch, becharm, captivate, trance, entrance, charm, hex, glamour, ravish, jinx, capture",hold spellbound; attract; cause to be enamored; cast a spell over someone or something; put a hex on someone or something; influenced as by charms or incantations
Joyful,Enjoyment,"enjoyment, use, delectation",the pleasure felt when having a good time; act of receiving pleasure from something; (law) the exercise of the legal right to enjoy the benefits of owning property
Joyful,Entertained,"amused, think about, flirt with, toy with, harbor, entertain, think of, diverted, entertained, harbour, hold, nurse","provide entertainment for; take into consideration, have in view; maintain (a theory, thoughts, or feelings); pleasantly occupied"
Joyful,Enthusiastic,enthusiastic,having or showing great excitement and interest
Joyful,Euphoric,euphoric,exaggerated feeling of well-being or elation
Joyful,Excited,"sex, wind up, arouse, rouse, energise, mad, stimulate, charge up, worked up, frantic, shake, emotional, excited, aroused, charge, unrestrained, commove, activated, agitate, shake up, turn on, excite, delirious, stir, energize","arouse or elicit a feeling; act as a stimulant; stir feelings in; cause to be agitated, excited, or roused; stimulate sexually; stir the feelings, emotions, or peace of; raise to a higher energy level; produce a magnetic field in; (of persons) excessively affected by emotion; in an aroused state; marked by uncontrolled excitement or emotion; (of e.g. a molecule) made reactive or more reactive"
Joyful,Exhilarated,"exhilarated, exhilarate, inebriate, beatify, exalt, thrill, gladdened, tickle pink",fill with sublime emotion; made joyful
Joyful,Exuberant,"exuberant, luxuriant, lush, excessive, ebullient, profuse, overweening, riotous, high-spirited, extravagant","joyously unrestrained; unrestrained, especially with regard to feelings; produced or growing in extreme abundance"
Joyful,Felicitous,"happy, felicitous",exhibiting an agreeably appropriate manner or style; marked by good fortune
Joyful,Genial,"affable, kind, mental, cordial, amiable, genial","diffusing warmth and friendliness; of or relating to the chin or median part of the lower jaw; agreeable, conducive to comfort"
