Broad Emotion,Emotion,Synonyms,Definitions
Loving,Comforted,"comforted, solace, comfort, console, soothe, ease",give moral or emotional strength to; lessen pain or discomfort; alleviate; made comfortable or more comfortable in a time of distress
Loving,Composed,"indite, draw up, write, composed, frame, pen, compile, compose","form the substance of; write music; produce a literary work; put together out of existing material; calm (someone, especially oneself); make quiet; make up plans or basic details for; serenely self-possessed and free from agitation especially in times of stress"
Loving,Content,"message, content, capacity, contentedness, contented, subject, substance, mental object, depicted object, subject matter, cognitive content","everything that is included in a collection and that is held or included in something; what a communication that is about something is about; the proportion of a substance that is contained in a mixture or alloy etc.; the amount that can be contained; the sum or range of what has been perceived, discovered, or learned; the state of being contented with your situation in life; something (a person or object or scene) selected by an artist or photographer for graphic representation; satisfy in a limited way; make content; satisfied or showing satisfaction with things as they are"
Loving,Ease,"repose, simpleness, relaxation, facilitate, alleviate, simplicity, comfort, still, allay, easiness, relief, relieve, informality, ease, rest",freedom from difficulty or hardship or effort; a freedom from financial difficulty that promotes a comfortable state; the condition of being comfortable or relieved (especially after being relieved of distress); freedom from constraint or embarrassment; freedom from activity (work or strain or responsibility); move gently or carefully; lessen pain or discomfort; alleviate; make easier; lessen the intensity of or calm
Loving,Free,"resign, discharge, exempt, liberate, unloose, innocent, gratis, unloosen, destitute, barren, absolve, gratuitous, rid, relieve, detached, unblock, costless, give up, liberal, spare, disembarrass, release, dislodge, disengage, devoid, unfreeze, relinquish, loose, free people, complimentary, free, justify",people who are free; grant freedom to; free from confinement; relieve from; remove or force out from a position; grant relief or an exemption from a rule or requirement to; make (information) available for publication; free from obligations or duties; free or remove obstruction from; let off the hook; part with a possession or right; release (gas or energy) as a result of a chemical reaction or physical decomposition; make (assets) available; able to act at will; not hampered; not under compulsion or restraint; unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion; costing nothing; not occupied or in use; not fixed in position; not held in servitude; not taken up by scheduled activities; completely wanting or lacking; not literal; without restraint
Loving,Fulfilled,"carry through, fulfill, fill, action, satisfy, carry out, meet, live up to, fulfilled, accomplish, execute, fulfil",put in effect; fill or meet a want or need; meet the requirements or expectations of; put in effect; meet the requirements or expectations of; fill or meet a want or need; completed to perfection
Loving,Mellow,"laid-back, mellowed, mellow, melt, mellowly, high, mellow out","soften, make mellow; become more relaxed, easygoing, or genial; make or grow (more) mellow; unhurried and relaxed; having a full and pleasing flavor through proper aging; having attained to kindliness or gentleness through age and experience; having attained to kindliness or gentleness through age and experience; slightly and pleasantly intoxicated from alcohol or a drug (especially marijuana); (obsolete) in a mellow manner"
Loving,Receptive,"receptive, open, centripetal, sensory","open to arguments, ideas, or change; ready or willing to receive favorably; of a nerve fiber or impulse originating outside and passing toward the central nervous system; able to absorb liquid (not repellent)"
Loving,Relaxed,"decompress, loosen up, unbend, slow down, loosen, slack up, unlax, loose, unwind, unstrain, make relaxed, relaxed, relax, slacken, slack","become less tense, rest, or take one's ease; make less taut; become loose or looser or less tight; cause to feel relaxed; become less tense, less formal, or less restrained, and assume a friendlier manner; make less severe or strict; become less severe or strict; make less active or fast; without strain or anxiety"
Loving,Secure,"batten down, procure, stop up, guarantee, insure, inviolable, good, strong, fasten, dependable, unassailable, safe, assure, unattackable, untroubled, batten, secure, ensure, plug, fix, impregnable, unafraid",get by special effort; cause to be firmly attached; assure payment of; make certain of; fill or close tightly with or as if with a plug; furnish with battens; free from fear or doubt; easy in mind; free from danger or risk; not likely to fail or give way; immune to attack; incapable of being tampered with; financially sound
Loving,Settled,"finalise, settle down, settle, square up, take root, sink, adjudicate, steady down, fall, go under, determine, subside, finalize, get back, conciliate, locate, reconcile, settled, ensconce, nail down, descend, make up, patch up, colonized, root, decide, resolve, colonised, go down, square off","settle into a position, usually on a surface or ground; bring to an end; settle conclusively; settle conclusively; come to terms; take up residence and become established; come to terms; go under,; become settled or established and stable in one's residence or life style; become resolved, fixed, established, or quiet; establish or develop as a residence; come to rest; arrange or fix in the desired order; accept despite lack of complete satisfaction; end a legal dispute by arriving at a settlement; dispose of; make a financial settlement; become clear by the sinking of particles; cause to become clear by forming a sediment (of liquids); sink down or precipitate; fix firmly; get one's revenge for a wrong or an injury; make final; put the last touches on; put into final form; form a community; come as if by falling; established or decided beyond dispute or doubt; established in a desired position or place; not moving about; inhabited by colonists; not changeable"
Loving,Sure,"certainly, trusted, certain, surely, sure, indisputable, for certain, sure as shooting, sure enough, for sure",having or feeling no doubt or uncertainty; confident and assured; exercising or taking care great enough to bring assurance; certain to occur; destined or inevitable; ; ; physically secure or dependable; reliable in operation or effect; (of persons) worthy of trust or confidence; infallible or unfailing; certain not to fail; impossible to doubt or dispute; definitely or positively (`sure' is sometimes used informally for `surely')
Loving,Trusting,"hope, intrust, trusting, desire, trustful, swear, rely, confide, bank, entrust, commit, trust, believe",have confidence or faith in; allow without fear; be confident about something; expect and wish; confer a trust upon; extend credit to; inclined to believe or confide readily; full of trust
Loving,Tranquil,"serene, placid, still, unruffled, unagitated, tranquil, smooth, calm, quiet",(of a body of water) free from disturbance by heavy waves; not agitated; without losing self-possession
Surprised,Amazed,"astonied, baffle, stupefy, nonplus, stunned, vex, astonished, astounded, gravel, amaze, mystify, dumbfound, amazed, beat, stick, astound, astonish, bewilder, get, perplex, flummox, puzzle, pose",affect with wonder; be a mystery or bewildering to; filled with the emotional impact of overwhelming surprise or shock
Surprised,Astonished,"stunned, astonied, amaze, astound, astonished, astounded, astonish, amazed",affect with wonder; filled with the emotional impact of overwhelming surprise or shock
Surprised,Astounded,"stunned, astonied, amaze, astound, astonished, astounded, astonish, amazed",affect with wonder; filled with the emotional impact of overwhelming surprise or shock
Surprised,Breathless,"dyspneic, inanimate, breathtaking, dyspnoeic, pulseless, dyspnoeal, dyspneal, breathless",not breathing or able to breathe except with difficulty; tending to cause suspension of regular breathing; appearing dead; not breathing or having no perceptible pulse
Surprised,Disbelief,"skepticism, mental rejection, unbelief, incredulity, disbelief",doubt about the truth of something; a rejection of belief
Surprised,Dubious,"in question, dubitable, dubious, doubtful",fraught with uncertainty or doubt; open to doubt or suspicion; ; ; ; not convinced
Surprised,Dumbfounded,"dumbfounded, flabbergasted, dumfounded, baffle, thunderstruck, stupefy, nonplus, vex, dumbstruck, dumbstricken, gravel, mystify, amaze, dumbfound, stupefied, beat, stick, bewilder, get, perplex, flummox, puzzle, pose",be a mystery or bewildering to; as if struck dumb with astonishment and surprise
Surprised,Flabbergasted,"dumbfounded, boggle, dumbstricken, flabbergasted, flabbergast, dumfounded, stupefied, thunderstruck, dumbstruck, bowl over",overcome with amazement; as if struck dumb with astonishment and surprise
Surprised,Floored,"dump, blow out of the water, deck, coldcock, shock, floor, floored, knock down, ball over, take aback",surprise greatly; knock someone's socks off; knock down with force; provided with a floor
Surprised,Quizzical,"quizzical, teasing, mocking, questioning",playfully vexing (especially by ridicule); perplexed (as if being expected to know something that you do not know)
Surprised,Scandalized,"appal, scandalize, shock, scandalise, offend, outrage, appall",strike with disgust or revulsion
Surprised,Serendipitious,,
Surprised,Shock,"stupor, blow out of the water, shock, floor, scandalise, appall, take aback, electrical shock, jounce, jolt, scandalize, shock absorber, traumatize, appal, electric shock, jar, impact, daze, cushion, blow, offend, outrage, seismic disturbance, ball over, traumatise",the feeling of distress and disbelief that you have when something bad happens accidentally; the violent interaction of individuals or groups entering into combat; a reflex response to the passage of electric current through the body; (pathology) bodily collapse or near collapse caused by inadequate oxygen delivery to the cells; characterized by reduced cardiac output and rapid heartbeat and circulatory insufficiency and pallor; an instance of agitation of the earth's crust; an unpleasant or disappointing surprise; a pile of sheaves of grain set on end in a field to dry; stalks of Indian corn set up in a field; a bushy thick mass (especially hair); a sudden jarring impact; a mechanical damper; absorbs energy of sudden impulses; surprise greatly; knock someone's socks off; strike with disgust or revulsion; strike with horror or terror; collide violently; collect or gather into shocks; subject to electrical shocks; inflict a trauma upon
Surprised,Speechless,"speechless, dumb",temporarily incapable of speaking
Surprised,Stunned,"bedaze, astonied, stunned, sandbag, kayoed, astonished, astounded, KO'd, stupefied, amazed, stun, knocked out, out, stupefy, dazed, stupid, daze",make senseless or dizzy by or as if by a blow; hit something or somebody as if with a sandbag; overcome as with astonishment or disbelief; filled with the emotional impact of overwhelming surprise or shock; knocked unconscious by a heavy blow; in a state of mental numbness especially as resulting from shock
Surprised,Stupefied,"dumbfounded, besot, flabbergasted, dumfounded, baffle, thunderstruck, stupefy, nonplus, stunned, vex, dumbstruck, dumbstricken, gravel, mystify, amaze, dumbfound, stupefied, stupid, beat, stick, bewilder, get, perplex, stun, flummox, puzzle, dazed, pose",make dull or stupid or muddle with drunkenness or infatuation; be a mystery or bewildering to; make senseless or dizzy by or as if by a blow; as if struck dumb with astonishment and surprise; in a state of mental numbness especially as resulting from shock
Afraid,Agitated,"rouse, push, charge up, crusade, campaign, shake, vex, raise up, charge, budge, shift, fight, commove, foment, disturb, agitated, agitate, press, shake up, turn on, excite, stir, stir up","try to stir up public opinion; cause to be agitated, excited, or roused; exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for; move very slightly; move or cause to move back and forth; change the arrangement or position of; troubled emotionally and usually deeply; physically disturbed or set in motion"
Afraid,Alarmed,"dismay, alarmed, appal, alarm, alert, appall, horrify",fill with apprehension or alarm; cause to be unpleasantly surprised; warn or arouse to a sense of danger or call to a state of preparedness; experiencing a sudden sense of danger
Afraid,Antsy,"fretful, itchy, fidgety, antsy",nervous and unable to relax
Afraid,Anxious,"dying, anxious, nervous, uneasy, unquiet, queasy",eagerly desirous; causing or fraught with or showing anxiety
Afraid,Apprehensive,"apprehensive, discerning, worried",quick to understand; mentally upset over possible misfortune or danger etc; in fear or dread of possible evil or harm
Afraid,Cautious,"timid, conservative, cautious",people who are fearful and cautious; showing careful forethought; avoiding excess
Afraid,Concerned,"bear on, concerned, relate, touch, implicated, have-to doe with, come to, interest, worry, touch on, refer, interested, pertain, concern, occupy",be relevant to; be on the mind of; feeling or showing worry or solicitude; involved in or affected by or having a claim to or share in; culpably involved
Afraid,Cowardly,"fearful, cowardly",lacking courage; ignobly timid and faint-hearted
Afraid,Distressed,"distress, in a bad way, worried, disquieted, hard-pressed, dysphoric, disturbed, distressed, upset, stressed, unhappy, straiten, hard put","bring into difficulties or distress, especially financial hardship; cause mental pain to; facing or experiencing financial trouble or difficulty; generalized feeling of distress; suffering severe physical strain or distress; afflicted with or marked by anxious uneasiness or trouble or grief"
Afraid,Dread,"fearful, dreaded, apprehension, direful, dreadful, frightening, horrific, fearsome, dire, horrendous, dread, apprehensiveness, awful, terrible, fear",fearful expectation or anticipation; be afraid or scared of; be frightened of; causing fear or dread or terror
Afraid,Edgy,"uptight, jumpy, high-strung, highly strung, restive, jittery, nervy, edgy, overstrung",being in a tense state
Afraid,Fearful,"frightful, fearful, cowardly, dreaded, trepid, direful, dreadful, frightening, horrific, fearsome, horrendous, dread, dire, awful, terrible, timorous",experiencing or showing fear; causing fear or dread or terror; lacking courage; ignobly timid and faint-hearted; extremely distressing; timid by nature or revealing timidity
Afraid,Foreboding,"presentiment, promise, portentous, prognosticate, forebode, anticipate, boding, predict, fateful, foreboding, call, premonition, foretell",a feeling of evil to come; an unfavorable omen; make a prediction about; tell in advance; ominously prophetic
Afraid,Frazzled,"frazzle, fray",wear away by rubbing; exhaust physically or emotionally
Afraid,Fretful,"whiny, fidgety, fretful, whiney, querulous, itchy, antsy",nervous and unable to relax; habitually complaining
Afraid,Frightened,"terrified, affright, scared, panic-struck, frighten, frightened, panic-stricken, fright, panicky, panicked, scare",cause fear in; drive out by frightening; made afraid; thrown into a state of intense fear or desperation
Afraid,Guarded,"guarded, guard, restrained, ward, defend, hold",to keep watch over; watch over or shield from danger or harm; protect; protect against a challenge or attack; take precautions in order to avoid some unwanted consequence; prudent
Afraid,Hesitant,"hesitating, hesitant",lacking decisiveness of character; unable to act or decide quickly or firmly
Afraid,Horrified,"dismay, appal, horror-stricken, alarm, horror-struck, horrified, appall, horrify",fill with apprehension or alarm; cause to be unpleasantly surprised; stricken with horror
Afraid,Hysterical,"hysterical, hysteric",characterized by or arising from psychoneurotic hysteria; marked by excessive or uncontrollable emotion
Afraid,Jumpy,"uptight, rocky, jumpy, high-strung, highly strung, restive, jittery, jolty, rough, jolting, nervy, edgy, bumpy, overstrung",being in a tense state; causing or characterized by jolts and irregular movements
Afraid,Nervous,"spooky, skittish, flighty, aflutter, anxious, nervous, neural, uneasy, unquiet, queasy",easily agitated; causing or fraught with or showing anxiety; of or relating to the nervous system; excited in anticipation; unpredictably excitable (especially of horses)
Afraid,Panic,"terror, scare, affright, panic",an overwhelming feeling of fear and anxiety; sudden mass fear and anxiety over anticipated events; be overcome by a sudden fear; cause sudden fear in or fill with sudden panic
Afraid,Paralyzed,"paralyze, paralytic, paralyse, paralyzed",make powerless and unable to function; cause to be paralyzed and immobile; affected with paralysis
Afraid,Paranoid,"paranoid, paranoiac",a person afflicted with paranoia; suffering from paranoia
Afraid,Petrified,"ossify, rigidify, petrify, lapidify",cause to become stonelike or stiff or dazed and stunned; change into stone; make rigid and set into a conventional pattern
Afraid,Restless,"ungratified, uneasy, restless, unsatisfied",worried and uneasy; ceaselessly in motion; lacking or not affording physical or mental rest
Afraid,Scared,"frighten away, scare away, affright, frighten off, scared, dash, frighten, scar, frightened, pock, pall, fright, scare off, pit, scare, mark, daunt",cause fear in; cause to lose courage; mark with a scar; made afraid
Afraid,Shaken,"shake, shake up, shake off, didder, rock, throw off, judder, stimulate, excite, escape from, shaken, stir, agitate, jolted, sway","move or cause to move back and forth; move with or as if with a tremor; shake or vibrate rapidly and intensively; move back and forth or sideways; undermine or cause to waver; stir the feelings, emotions, or peace of; get rid of; bring to a specified condition by or as if by shaking; shake (a body part) to communicate a greeting, feeling, or cognitive state; disturbed psychologically as if by a physical jolt or shock"
Afraid,Skeptical,"unbelieving, skeptical, questioning, sceptical, doubting, disbelieving",denying or questioning the tenets of especially a religion; marked by or given to doubt
Afraid,Startled,"galvanise, galvanize, jump, startled, start, startle","to stimulate to action; move or jump suddenly, as if in surprise or alarm; excited by sudden surprise or alarm and making a quick involuntary movement"
Afraid,Stressed,"emphasize, accented, strain, punctuate, accent, emphasise, try, distressed, stress, accentuate, stressed","to stress, single out as important; put stress on; utter with an accent; test the limits of; suffering severe physical strain or distress; bearing a stress or accent"
Afraid,Tense,"tense, strain, tense up","a grammatical category of verbs used to express distinctions of time; become stretched or tense or taut; increase the tension on; become tense, nervous, or uneasy; cause to be tense and uneasy or nervous or anxious; in or of a state of physical or nervous tension; pronounced with relatively tense tongue muscles (e.g., the vowel sound in `beat'); taut or rigid; stretched tight"
Afraid,Terrified,"terrified, panic-struck, terrorise, frightened, terrify, panic-stricken, panicky, panicked, terrorize",fill with terror; frighten greatly; thrown into a state of intense fear or desperation
Afraid,Timid,"faint, faint-hearted, unsure, diffident, fainthearted, cautious, timid, shy",people who are fearful and cautious; showing fear and lack of confidence; lacking self-confidence; lacking conviction or boldness or courage
Afraid,Trepidation,trepidation,a feeling of alarm or dread
Afraid,Twitchy,,
Afraid,Uptight,"uptight, jumpy, high-strung, highly strung, restive, jittery, nervy, edgy, overstrung",being in a tense state
Afraid,Vigilant,"wakeful, argus-eyed, vigilant, open-eyed",carefully observant or attentive; on the lookout for possible danger
Afraid,Wary,"wary, untrusting, mistrustful, suspicious, leery",marked by keen caution and watchful prudence; openly distrustful and unwilling to confide
Afraid,Worried,"worried, care, disquieted, vex, interest, worry, upset, disturbed, apprehensive, distressed, concern, occupy","be worried, concerned, anxious, troubled, or uneasy; be concerned with; disturb the peace of mind of; afflict with mental agitation or distress; be on the mind of; lacerate by biting; touch or rub constantly; afflicted with or marked by anxious uneasiness or trouble or grief; mentally upset over possible misfortune or danger etc"
Angry,Aggravated,"exacerbate, provoked, aggravate, worsen, exasperate, aggravated","make worse; exasperate or irritate; made more severe or intense especially in law; incited, especially deliberately, to anger"
Angry,Animosity,"bad blood, animosity, animus",a feeling of ill will arousing active hostility
Angry,Annoyed,"miffed, get at, roiled, rile, peeved, get to, chafe, riled, vex, steamed, bother, annoy, devil, harassed, nark, pissed off, gravel, nettle, pissed, harried, stung, annoyed, pestered, nettled, rag, irritate, vexed, irritated","cause annoyance in; disturb, especially by minor irritations; aroused to impatience or anger; troubled persistently especially with petty annoyances"
Angry,Antagonistic,"antagonistic, antipathetical, counter, incompatible, antipathetic",indicating opposition or resistance; characterized by antagonism or antipathy; arousing animosity or hostility; used especially of drugs or muscles that counteract or neutralize each other's effect; incapable of harmonious association
Angry,Antipathy,"distaste, aversion, antipathy",a feeling of intense dislike; the object of a feeling of intense aversion; something to be avoided
Angry,Bitter,"acerbic, blistering, caustic, bitingly, bitterness, bitter, sulfurous, vitriolic, bitterly, sulphurous, acrid, acerb, virulent, acid, biting, piercingly, acrimonious",English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft); the taste experience when quinine or coffee is taken into the mouth; the property of having a harsh unpleasant taste; make bitter; marked by strong resentment or cynicism; very difficult to accept or bear; harsh or corrosive in tone; expressive of severe grief or regret; proceeding from or exhibiting great hostility or animosity; causing a sharp and acrid taste experience; causing a sharply painful or stinging sensation; used especially of cold; extremely and sharply
Angry,Bothered,"get at, rile, get to, fazed, chafe, trouble, vex, bother, inconvenience oneself, annoy, inconvenience, devil, nark, daunted, gravel, nettle, disoblige, put out, incommode, rag, trouble oneself, irritate, bothered, discommode","take the trouble to do something; concern oneself; cause annoyance in; disturb, especially by minor irritations; to cause inconvenience or discomfort to; intrude or enter uninvited; make nervous or agitated; make confused or perplexed or puzzled; caused to show discomposure"
Angry,Burning,"electrocution, sunburn, incinerate, sting, bite, burn off, combustion, combust, burn up, burning at the stake, cauterize, burning, cauterise, cut, burn, glow, burn down, fire","the act of burning something; pain that feels hot as if it were on fire; a process in which a substance reacts with oxygen to give heat and light; execution by electricity; execution by fire; a form of torture in which cigarettes or cigars or other hot implements are used to burn the victim's skin; destroy by fire; shine intensely, as if with heat; undergo combustion; cause a sharp or stinging pain or discomfort; cause to burn or combust; feel strong emotion, especially anger or passion; cause to undergo combustion; burn at the stake; spend (significant amounts of money); feel hot or painful; burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent; get a sunburn by overexposure to the sun; create by duplicating data; use up (energy); burn with heat, fire, or radiation; of immediate import"
Angry,Choleric,"irascible, short-tempered, hot-tempered, quick-tempered, choleric, hotheaded",easily moved to anger; quickly aroused to anger; characterized by anger
Angry,Cold,"moth-eaten, low temperature, stale, frigid, cold, inhuman, insensate, frigidity, dusty, cold-blooded, frigidness, coldness, common cold",a mild viral infection involving the nose and respiratory passages (but not the lungs); the absence of heat; the sensation produced by low temperatures; having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration; extended meanings; especially of psychological coldness; without human warmth or emotion; having lost freshness through passage of time; (color) giving no sensation of warmth; marked by errorless familiarity; lacking originality or spontaneity; no longer new; so intense as to be almost uncontrollable; sexually unresponsive; without compunction or human feeling; feeling or showing no enthusiasm; unconscious from a blow or shock or intoxication; of a seeker; far from the object sought; lacking the warmth of life
Angry,Consternation,"dismay, alarm, consternation",fear resulting from the awareness of danger
Angry,Contempt,"despite, contempt, disrespect, disdain, scorn",lack of respect accompanied by a feeling of intense dislike; a manner that is generally disrespectful and contemptuous; open disrespect for a person or thing; a willful disobedience to or disrespect for the authority of a court or legislative body
Angry,Cross,"cut across, interbreed, intersect, baffle, frustrate, crabby, get across, cover, grouchy, hybridisation, hybridization, mark, thwart, get over, span, interbreeding, ill-tempered, track, grumpy, cut through, queer, sweep, crossbreeding, crisscross, traverse, hybridizing, scotch, thwartwise, foil, hybridise, hybrid, crossing, fussy, transversal, spoil, pass over, crossbreed, hybridize, crabbed, bad-tempered, cross, Cross, bilk, crown of thorns, transverse","a wooden structure consisting of an upright post with a transverse piece; a marking that consists of lines that cross each other; a representation of the structure on which Jesus was crucified; used as an emblem of Christianity or in heraldry; any affliction that causes great suffering; (genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species; (genetics) the act of mixing different species or varieties of animals or plants and thus to produce hybrids; travel across or pass over; meet at a point; hinder or prevent (the efforts, plans, or desires) of; fold so as to resemble a cross; to cover or extend over an area or time period; ,; meet and pass; trace a line through or across; breed animals or plants using parents of different races and varieties; extending or lying across; in a crosswise direction; at right angles to the long axis; annoyed and irritable"
Angry,Disgruntled,"disgruntle, dissatisfied, disgruntled",put into a bad mood or into bad humour; in a state of sulky dissatisfaction
Angry,Enmity,"antagonism, hostility, ill will, enmity",a state of deep-seated ill-will; the feeling of a hostile person
Angry,Exasperated,"infuriate, exacerbate, incense, aggravate, exasperated, worsen, browned off, exasperate, cheesed off",exasperate or irritate; make furious; make worse; greatly annoyed; out of patience
Angry,Frustrated,"disappointed, baffle, frustrate, discomfited, thwart, dun, crucify, queer, torment, scotch, bedevil, foil, frustrated, foiled, rag, spoil, defeated, cross, thwarted, bilk","hinder or prevent (the efforts, plans, or desires) of; treat cruelly; disappointingly unsuccessful"
Angry,Furious,"fierce, savage, angered, ferocious, tempestuous, furious, infuriated, enraged, wild, raging, angry, maddened",marked by extreme and violent energy; marked by extreme anger; (of the elements) as if showing violent anger
Angry,Grouchy,"ill-tempered, crabbed, crabby, grumpy, bad-tempered, fussy, grouchy, cross",annoyed and irritable
Angry,Harassed,"chivvy, harass, chivy, hassle, harry, chevvy, beset, chevy, vexed, molest, harried, pestered, annoyed, provoke, plague, harassed",annoy continually or chronically; exhaust by attacking repeatedly; troubled persistently especially with petty annoyances
Angry,Hostile,"unfriendly, hostile, uncongenial",troops belonging to the enemy's military forces; characterized by enmity or ill will; not belonging to your own country's forces or those of an ally; impossible to bring into friendly accord; very unfavorable to life or growth; unsolicited and resisted by the management of the target company ( used of attempts to buy or take control of a business)
Angry,Ill-tempered,"ill-tempered, crabbed, crabby, grumpy, bad-tempered, fussy, grouchy, cross",annoyed and irritable
Angry,Impatient,"impatient, raring",restless or short-tempered under delay or opposition; (usually followed by `to') full of eagerness
Angry,Indignant,"incensed, outraged, umbrageous, indignant",angered at something unjust or wrong
Angry,Irritated,"miffed, get at, roiled, rile, peeved, get to, chafe, riled, vex, steamed, bother, annoy, devil, nark, pissed off, gravel, nettle, pissed, stung, annoyed, nettled, rag, irritate, irritated","cause annoyance in; disturb, especially by minor irritations; excite to an abnormal condition, or chafe or inflame; excite to some characteristic action or condition, such as motion, contraction, or nervous impulse, by the application of a stimulus; aroused to impatience or anger"
Angry,Irate,"ireful, irate",feeling or showing extreme anger
Angry,Irascible,"irascible, short-tempered, hot-tempered, quick-tempered, choleric, hotheaded",quickly aroused to anger; characterized by anger
Angry,Mad,"sore, unbalanced, insane, excited, mad, huffy, unhinged, crazy, demented, disturbed, delirious, frantic, unrestrained, harebrained, sick, brainsick",roused to anger; affected with madness or insanity; marked by uncontrolled excitement or emotion; very foolish
Angry,Miffed,"miffed, riled, roiled, pissed off, pissed, steamed, peeved, stung, annoyed, nettled, miff, irritated",cause to be annoyed; aroused to impatience or anger
Angry,Moody,"moody, sour, dark, Dwight Lyman Moody, saturnine, Helen Wills, sullen, morose, dour, glowering, glum, Helen Newington Wills, Moody, temperamental, Helen Wills Moody",United States tennis player who dominated women's tennis in the 1920s and 1930s (1905-1998); United States evangelist (1837-1899); showing a brooding ill humor; ; ; ; ; ; subject to sharply varying moods
Angry,Nasty,"smutty, nasty, tight, filthy, cruddy, awful, foul",offensive or even (of persons) malicious; ; ; ; ; ; exasperatingly difficult to handle or circumvent; characterized by obscenity; disgustingly dirty; filled or smeared with offensive matter
Angry,Offended,"wound, injure, breach, bruise, shock, scandalise, hurt, appall, scandalize, offended, transgress, appal, go against, pique, spite, pained, violate, break, offend, outrage, infract","cause to feel resentment or indignation; act in disregard of laws, rules, contracts, or promises; strike with disgust or revulsion; hurt the feelings of; hurt or upset"
Angry,Outraged,"shock, rape, assault, scandalise, profane, appall, scandalize, dishonour, umbrageous, incensed, indignant, appal, outraged, dishonor, violate, desecrate, ravish, offend, outrage",strike with disgust or revulsion; violate the sacred character of a place or language; force (someone) to have sex against their will; angered at something unjust or wrong
Angry,Peevish,"irritable, scratchy, petulant, tetchy, peckish, peevish, pettish, cranky, testy, nettlesome, fractious, techy",easily irritated or annoyed
Angry,Perturbed,"disquiet, cark, flustered, disorder, perturb, rattled, trouble, hot and bothered, throw out of kilter, distract, perturbed, unhinge, derange","disturb in mind or make uneasy or cause to be worried or alarmed; disturb or interfere with the usual path of an electron or atom; cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull; throw into great confusion or disorder; thrown into a state of agitated confusion; (`rattled' is an informal term)"
Angry,Pissed,"loaded, miffed, stiff, pass water, roiled, pie-eyed, puddle, pixilated, peeved, piddle, urinate, piss, tight, riled, crocked, steamed, wee, take a leak, pissed off, wet, soused, pissed, micturate, soaked, pee-pee, stung, annoyed, nettled, wee-wee, smashed, spend a penny, cockeyed, sozzled, fuddled, relieve oneself, besotted, blind drunk, make water, squiffy, slopped, blotto, make, pee, plastered, sloshed, irritated",eliminate urine; aroused to impatience or anger; very drunk
Angry,Resentful,resentful,full of or marked by resentment or indignant ill will
Angry,Petulant,"irritable, scratchy, petulant, tetchy, peckish, peevish, pettish, cranky, testy, nettlesome, fractious, techy",easily irritated or annoyed
Angry,Rage,"ramp, rage, craze, fury, furore, cult, fad, passion, furor, storm, madness","a feeling of intense anger; a state of extreme anger; something that is desired intensely; violent state of the elements; an interest followed with exaggerated zeal; behave violently, as if in state of a great anger; be violent; as of fires and storms; feel intense anger"
Angry,Rattled,"flustered, rattle, hot and bothered, perturbed, rattled",make short successive sounds; shake and cause to make a rattling noise; thrown into a state of agitated confusion; (`rattled' is an informal term)
Angry,Resentment,"resentment, bitterness, rancour, rancor, gall",a feeling of deep and bitter anger and ill-will
Angry,Sour,"moody, work, acidity, acidulate, glowering, sour, turned, dark, saturnine, sourness, off-key, turn, ferment, off, acetify, false, sullen, tartness, acidify, morose, dour, glum, rancid",a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar; the taste experience when vinegar or lemon juice is taken into the mouth; the property of being acidic; go sour or spoil; make sour or more sour; smelling of fermentation or staleness; having a sharp biting taste; one of the four basic taste sensations; like the taste of vinegar or lemons; in an unpalatable state; inaccurate in pitch; showing a brooding ill humor; ; ; ; ; 
Angry,Testy,"irritable, scratchy, petulant, tetchy, peckish, peevish, pettish, cranky, testy, nettlesome, fractious, techy",easily irritated or annoyed
Angry,Tetchy,"irritable, scratchy, petulant, tetchy, peckish, peevish, pettish, cranky, testy, nettlesome, fractious, techy",easily irritated or annoyed
Angry,Vexed,"get at, worry, baffle, rile, get to, stupefy, nonplus, chafe, vex, raise up, bother, annoy, devil, harassed, nark, commove, gravel, mystify, amaze, nettle, dumbfound, disturb, harried, pestered, annoyed, agitate, beat, shake up, rag, irritate, stick, vexed, bewilder, get, perplex, flummox, puzzle, stir up, pose","cause annoyance in; disturb, especially by minor irritations; disturb the peace of mind of; afflict with mental agitation or distress; change the arrangement or position of; subject to prolonged examination, discussion, or deliberation; be a mystery or bewildering to; troubled persistently especially with petty annoyances; causing difficulty in finding an answer or solution; much disputed"
Angry,Vindictive,"revengeful, vindictive, vengeful, despiteful, spiteful",disposed to seek revenge or intended for revenge; showing malicious ill will and a desire to hurt; motivated by spite
Angry,Wrathful,"wrothful, wroth, wrathful",vehemently incensed and condemnatory
Disconnected,Adrift,"undirected, directionless, aimless, adrift, planless, afloat, rudderless","aimlessly drifting; afloat on the surface of a body of water; floating freely; not anchored; off course, wandering aimlessly"
